Match ID,Season,Econ Loadout,Map,Kills,Deaths,Assists,K/D,Damage Delta/Round,Average Damage/Round,Entry Success Rate,Round Win %
82d29ef2-8934-4fca-9079-4caeeb32ac2c,V26: A2,semi,Haven,9,10,2,0.9,-28,130.82,0,0.636
82d29ef2-8934-4fca-9079-4caeeb32ac2c,V26: A2,full,Haven,3,2,2,1.5,60,198.67,0,0.667
82d29ef2-8934-4fca-9079-4caeeb32ac2c,V26: A2,eco,Haven,5,3,0,1.666666667,108,229.5,1,0.75
845a74ec-3b8b-4aee-949c-588c42cef21a,V26: A2,pistol,Fracture,1,1,0,1,-76,52,0.5,0.5
845a74ec-3b8b-4aee-949c-588c42cef21a,V26: A2,semi,Fracture,11,7,4,1.571428571,40,168.6,0.667,0.5
845a74ec-3b8b-4aee-949c-588c42cef21a,V26: A2,full,Fracture,3,4,2,0.75,-3,146.6,0.5,0.6
845a74ec-3b8b-4aee-949c-588c42cef21a,V26: A2,eco,Fracture,2,5,3,0.4,-32,77.14,0,0.571
869b3fc2-09ea-4045-8599-a2443bd1a840,V26: A3,pistol,Lotus,2,2,1,1,100,211,0,1
869b3fc2-09ea-4045-8599-a2443bd1a840,V26: A3,semi,Lotus,9,9,3,1,-24,136.17,0.75,0.417
869b3fc2-09ea-4045-8599-a2443bd1a840,V26: A3,eco,Lotus,1,3,1,0.333333333,-80,102,0,0
869b3fc2-09ea-4045-8599-a2443bd1a840,V26: A3,full,Lotus,0,3,1,0,-120,49,0,0
8a0112b6-5d2f-4ddd-bbf9-9c0403f4d996,V26: A1,pistol,Abyss,1,2,1,0.5,-27,105.5,0,0.5
8a0112b6-5d2f-4ddd-bbf9-9c0403f4d996,V26: A1,eco,Abyss,1,2,1,0.5,-60,75,1,0
8a0112b6-5d2f-4ddd-bbf9-9c0403f4d996,V26: A1,semi,Abyss,9,12,3,0.75,-46,144.54,0.25,0.231
8a0112b6-5d2f-4ddd-bbf9-9c0403f4d996,V26: A1,full,Abyss,2,0,0,,211,331,0,1
8aa6b367-b650-44ad-bf4a-d02f18217d6b,V26: A3,pistol,Lotus,0,1,0,0,-39,13,0,0.5
8aa6b367-b650-44ad-bf4a-d02f18217d6b,V26: A3,semi,Lotus,12,9,1,1.333333333,50,160.92,0,0.615
8aa6b367-b650-44ad-bf4a-d02f18217d6b,V26: A3,eco,Lotus,3,4,1,0.75,20,160,0,0.25
8aa6b367-b650-44ad-bf4a-d02f18217d6b,V26: A3,full,Lotus,2,2,0,1,-49,80,0,0.75
8eedd060-be5a-42aa-9493-22c0ee26cd53,V26: A2,pistol,Bind,0,2,0,0,-119,13,0,0
8eedd060-be5a-42aa-9493-22c0ee26cd53,V26: A2,eco,Bind,4,5,2,0.8,-26,115.29,0,0.571
8eedd060-be5a-42aa-9493-22c0ee26cd53,V26: A2,semi,Bind,6,4,5,1.5,59,173.29,1,0.714
8eedd060-be5a-42aa-9493-22c0ee26cd53,V26: A2,full,Bind,7,3,5,2.333333333,89,221.6,0,0.8
94b6a626-edae-42e6-bdb4-dd472bc7d7ab,V26: A1,pistol,Split,2,1,0,2,13,107.5,0.5,1
94b6a626-edae-42e6-bdb4-dd472bc7d7ab,V26: A1,semi,Split,5,3,0,1.666666667,-7,112.6,1,1
